Player,Runs,Balls,Strike_Rate
431,4,7,57.14
442,0,1,0.0
443,125,134,93.28
444,280,323,86.69
445,14,13,107.69
434,19,23,82.61
446,5,13,38.46
447,23,27,85.19
450,51,52,98.08
451,10,17,58.82
452,193,146,132.19
453,1403,1018,137.82
454,934,730,127.95
449,153,135,113.33
432,106,63,168.25
456,0,2,0.0
457,169,158,106.96
458,10,17,58.82
459,295,251,117.53
460,36,39,92.31
464,7,15,46.67
463,17,20,85.0
462,18,39,46.15
467,20,21,95.24
468,42,46,91.3
466,96,98,97.96
469,40,36,111.11
470,53,51,103.92
471,5,3,166.67
472,29,26,111.54
475,1,3,33.33
474,67,74,90.54
417,1,2,50.0
455,38,32,118.75
477,12,17,70.59
479,15,13,115.38
480,48,33,145.45
481,2,2,100.0
482,127,94,135.11
483,232,146,158.9
478,1,3,33.33
486,93,72,129.17
487,19,13,146.15
488,13,8,162.5
485,1,3,33.33
490,23,33,69.7
491,6,12,50.0
130,6,12,50.0
493,127,105,120.95
494,14,13,107.69
128,8,11,72.73
59,0,1,0.0
495,24,15,160.0
496,414,290,142.76
497,3,5,60.0
501,36,34,105.88
502,123,102,120.59
503,129,67,192.54
504,24,28,85.71
498,25,25,100.0
86,5,2,250.0
499,11,7,157.14
505,4,5,80.0
506,211,142,148.59
507,13,15,86.67
132,27,23,117.39
508,58,48,120.83
509,0,5,0.0
510,17,21,80.95
512,250,165,151.52
511,1,3,33.33
106,1,3,33.33
513,152,119,127.73
515,20,21,95.24
519,8,9,88.89
521,77,46,167.39
520,1,5,20.0
522,8,6,133.33
523,8,6,133.33
514,1,6,16.67
