id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
39,2017,CR Brathwaite,2017-05-02,SRH,DD,DD,CSK,normal,0,DD,0,6,Mohammed Shami,Feroz Shah Kotla
40,2017,CR Brathwaite,2017-05-03,KKR,Pune,Pune,CSK,normal,0,Pune,0,4,RA Tripathi,Eden Gardens
41,2017,CR Brathwaite,2017-05-04,GL,DD,DD,CSK,normal,0,DD,0,7,RR Pant,Feroz Shah Kotla
42,2017,CR Brathwaite,2017-05-05,KXIP,RCB,RCB,CSK,normal,0,KXIP,19,0,Sandeep Sharma,M Chinnaswamy Stadium
43,2017,CR Brathwaite,2017-05-06,Pune,SRH,SRH,CSK,normal,0,Pune,12,0,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal"
44,2017,CR Brathwaite,2017-05-06,MI,DD,DD,CSK,normal,0,MI,146,0,LMP Simmons,Feroz Shah Kotla
45,2017,CR Brathwaite,2017-05-07,RCB,KKR,KKR,CSK,normal,0,KKR,0,6,SP Narine,M Chinnaswamy Stadium
46,2017,CR Brathwaite,2017-05-07,KXIP,GL,GL,CSK,normal,0,GL,0,6,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali"
47,2017,CR Brathwaite,2017-05-08,MI,SRH,MI,CSK,normal,0,SRH,0,7,S Dhawan,"Rajiv Gandhi International Stadium, Uppal"
48,2017,CR Brathwaite,2017-05-09,KXIP,KKR,KKR,CSK,normal,0,KXIP,14,0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali"
49,2017,CR Brathwaite,2017-05-10,GL,DD,DD,CSK,normal,0,DD,0,2,SS Iyer,Green Park
50,2017,CR Brathwaite,2017-05-11,KXIP,MI,MI,CSK,normal,0,KXIP,7,0,WP Saha,Wankhede Stadium
51,2017,CR Brathwaite,2017-05-12,DD,Pune,DD,CSK,normal,0,DD,7,0,KK Nair,Feroz Shah Kotla
52,2017,CR Brathwaite,2017-05-13,GL,SRH,SRH,CSK,normal,0,SRH,0,8,Mohammed Siraj,Green Park
53,2017,CR Brathwaite,2017-05-13,MI,KKR,KKR,CSK,normal,0,MI,9,0,AT Rayudu,Eden Gardens
54,2017,CR Brathwaite,2017-05-14,KXIP,Pune,Pune,CSK,normal,0,Pune,0,9,JD Unadkat,Maharashtra Cricket Association Stadium
55,2017,CR Brathwaite,2017-05-14,RCB,DD,RCB,CSK,normal,0,RCB,10,0,HV Patel,Feroz Shah Kotla
56,2017,CR Brathwaite,2017-05-16,Pune,MI,MI,CSK,normal,0,Pune,20,0,Washington Sundar,Wankhede Stadium
57,2017,CR Brathwaite,2017-05-17,SRH,KKR,KKR,CSK,normal,1,KKR,0,7,NM Coulter-Nile,M Chinnaswamy Stadium
58,2017,CR Brathwaite,2017-05-19,KKR,MI,MI,CSK,normal,0,MI,0,6,KV Sharma,M Chinnaswamy Stadium
59,2017,CR Brathwaite,2017-05-21,MI,Pune,MI,CSK,normal,0,MI,1,0,KH Pandya,"Rajiv Gandhi International Stadium, Uppal"
60,2008,CR Brathwaite,2008-04-18,KKR,RCB,RCB,CSK,normal,0,KKR,140,0,BB McCullum,M Chinnaswamy Stadium
61,2008,CR Brathwaite,2008-04-19,CSK,KXIP,CSK,CSK,normal,0,CSK,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali"
62,2008,CR Brathwaite,2008-04-19,RR,DD,RR,CSK,normal,0,DD,0,9,MF Maharoof,Feroz Shah Kotla
63,2008,CR Brathwaite,2008-04-20,MI,RCB,MI,CSK,normal,0,RCB,0,5,MV Boucher,Wankhede Stadium
64,2008,CR Brathwaite,2008-04-20,SRH,KKR,SRH,CSK,normal,0,KKR,0,5,DJ Hussey,Eden Gardens
65,2008,CR Brathwaite,2008-04-21,KXIP,RR,KXIP,CSK,normal,0,RR,0,6,SR Watson,Sawai Mansingh Stadium
66,2008,CR Brathwaite,2008-04-22,SRH,DD,SRH,CSK,normal,0,DD,0,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal"
67,2008,CR Brathwaite,2008-04-23,CSK,MI,MI,CSK,normal,0,CSK,6,0,ML Hayden,"MA Chidambaram Stadium, Chepauk"
68,2008,CR Brathwaite,2008-04-24,SRH,RR,RR,CSK,normal,0,RR,0,3,YK Pathan,"Rajiv Gandhi International Stadium, Uppal"
69,2008,CR Brathwaite,2008-04-25,KXIP,MI,MI,CSK,normal,0,KXIP,66,0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali"
70,2008,CR Brathwaite,2008-04-26,RCB,RR,RR,CSK,normal,0,RR,0,7,SR Watson,M Chinnaswamy Stadium
71,2008,CR Brathwaite,2008-04-26,KKR,CSK,KKR,CSK,normal,0,CSK,0,9,JDP Oram,"MA Chidambaram Stadium, Chepauk"
72,2008,CR Brathwaite,2008-04-27,MI,SRH,SRH,CSK,normal,0,SRH,0,10,AC Gilchrist,Dr DY Patil Sports Academy
73,2008,CR Brathwaite,2008-04-27,DD,KXIP,DD,CSK,normal,0,KXIP,0,4,SM Katich,"Punjab Cricket Association Stadium, Mohali"
74,2008,CR Brathwaite,2008-04-28,CSK,RCB,CSK,CSK,normal,0,CSK,13,0,MS Dhoni,M Chinnaswamy Stadium
75,2008,CR Brathwaite,2008-04-29,KKR,MI,KKR,CSK,normal,0,MI,0,7,ST Jayasuriya,Eden Gardens
76,2008,CR Brathwaite,2008-04-30,DD,RCB,RCB,CSK,normal,0,DD,10,0,GD McGrath,Feroz Shah Kotla
77,2008,CR Brathwaite,2008-05-01,SRH,KXIP,KXIP,CSK,normal,0,KXIP,0,7,SE Marsh,"Rajiv Gandhi International Stadium, Uppal"
78,2008,CR Brathwaite,2008-05-01,RR,KKR,RR,CSK,normal,0,RR,45,0,SA Asnodkar,Sawai Mansingh Stadium
79,2008,CR Brathwaite,2008-05-02,CSK,DD,CSK,CSK,normal,0,DD,0,8,V Sehwag,"MA Chidambaram Stadium, Chepauk"
80,2008,CR Brathwaite,2008-05-25,SRH,RCB,SRH,CSK,normal,0,RCB,0,5,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal"
81,2008,CR Brathwaite,2008-05-03,KXIP,KKR,KXIP,CSK,normal,0,KXIP,9,0,IK Pathan,"Punjab Cricket Association Stadium, Mohali"
82,2008,CR Brathwaite,2008-05-04,MI,DD,DD,CSK,normal,0,MI,29,0,SM Pollock,Dr DY Patil Sports Academy
83,2008,CR Brathwaite,2008-05-04,CSK,RR,CSK,CSK,normal,0,RR,0,8,Sohail Tanvir,Sawai Mansingh Stadium
84,2008,CR Brathwaite,2008-05-05,RCB,KXIP,KXIP,CSK,normal,0,KXIP,0,6,S Sreesanth,M Chinnaswamy Stadium
