match_id,inning,over,team1,team2,batting_team,winner,total_runs,player_dismissed,innings_wickets,innings_score,aim,remaining_runs,run_rate,required_run_rate,rr_diff,is_batting_team,target
1,2,9,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,11,0,2,85,207.0,122.0,9.444444444444445,11.090909090909092,-1.646464646464647,0,1
1,2,10,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,13,0,2,98,207.0,109.0,9.8,10.9,-1.0999999999999996,0,1
1,2,11,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,13,0,2,111,207.0,96.0,10.090909090909092,10.666666666666666,-0.5757575757575744,0,1
1,2,12,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,7,1,3,118,207.0,89.0,9.833333333333334,11.125,-1.291666666666666,0,1
1,2,13,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,8,1,4,126,207.0,81.0,9.692307692307692,11.571428571428571,-1.8791208791208796,0,1
1,2,14,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,4,1,5,130,207.0,77.0,9.285714285714286,12.833333333333334,-3.5476190476190474,0,1
1,2,15,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,9,0,5,139,207.0,68.0,9.266666666666667,13.6,-4.333333333333332,0,1
1,2,16,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,12,0,5,151,207.0,56.0,9.4375,14.0,-4.5625,0,1
1,2,17,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,3,1,6,154,207.0,53.0,9.058823529411764,17.666666666666668,-8.607843137254903,0,1
1,2,18,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,2,2,8,156,207.0,51.0,8.666666666666666,25.5,-16.833333333333336,0,1
1,2,19,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,9,1,9,165,207.0,42.0,8.68421052631579,42.0,-33.31578947368421,0,1
1,2,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,7,1,10,172,207.0,35.0,8.6,99.0,-90.4,0,1
2,1,1,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,11,0,0,11,-1.0,-1.0,11.0,-1.0,-1.0,1,0
2,1,2,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,8,0,0,19,-1.0,-1.0,9.5,-1.0,-1.0,1,0
2,1,3,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,9,0,0,28,-1.0,-1.0,9.333333333333334,-1.0,-1.0,1,0
2,1,4,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,13,0,0,41,-1.0,-1.0,10.25,-1.0,-1.0,1,0
2,1,5,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,7,1,1,48,-1.0,-1.0,9.6,-1.0,-1.0,1,0
2,1,6,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,13,0,1,61,-1.0,-1.0,10.166666666666666,-1.0,-1.0,1,0
2,1,7,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,2,2,3,63,-1.0,-1.0,9.0,-1.0,-1.0,1,0
2,1,8,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,3,0,3,66,-1.0,-1.0,8.25,-1.0,-1.0,1,0
2,1,9,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,10,0,3,76,-1.0,-1.0,8.444444444444445,-1.0,-1.0,1,0
2,1,10,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,6,0,3,82,-1.0,-1.0,8.2,-1.0,-1.0,1,0
2,1,11,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,10,0,3,92,-1.0,-1.0,8.363636363636363,-1.0,-1.0,1,0
2,1,12,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,3,1,4,95,-1.0,-1.0,7.916666666666667,-1.0,-1.0,1,0
2,1,13,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,11,0,4,106,-1.0,-1.0,8.153846153846153,-1.0,-1.0,1,0
2,1,14,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,5,1,5,111,-1.0,-1.0,7.928571428571429,-1.0,-1.0,1,0
2,1,15,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,9,0,5,120,-1.0,-1.0,8.0,-1.0,-1.0,1,0
2,1,16,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,7,1,6,127,-1.0,-1.0,7.9375,-1.0,-1.0,1,0
2,1,17,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,10,0,6,137,-1.0,-1.0,8.058823529411764,-1.0,-1.0,1,0
2,1,18,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,8,0,6,145,-1.0,-1.0,8.055555555555555,-1.0,-1.0,1,0
2,1,19,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,9,1,7,154,-1.0,-1.0,8.105263157894736,-1.0,-1.0,1,0
2,1,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,30,1,8,184,-1.0,-1.0,9.2,-1.0,-1.0,1,0
2,2,1,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,8,0,0,8,184.0,176.0,8.0,9.263157894736842,-1.2631578947368425,0,0
2,2,2,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,15,0,0,23,184.0,161.0,11.5,8.944444444444445,2.5555555555555554,0,0
2,2,3,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,12,0,0,35,184.0,149.0,11.666666666666666,8.764705882352942,2.901960784313724,0,0
2,2,4,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,4,1,1,39,184.0,145.0,9.75,9.0625,0.6875,0,0
2,2,5,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,4,0,1,43,184.0,141.0,8.6,9.4,-0.8000000000000007,0,0
2,2,6,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,16,0,1,59,184.0,125.0,9.833333333333334,8.928571428571429,0.9047619047619051,0,0
2,2,7,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,4,0,1,63,184.0,121.0,9.0,9.307692307692308,-0.3076923076923084,0,0
2,2,8,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,10,0,1,73,184.0,111.0,9.125,9.25,-0.125,0,0
2,2,9,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,9,0,1,82,184.0,102.0,9.11111111111111,9.272727272727273,-0.16161616161616266,0,0
2,2,10,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,11,0,1,93,184.0,91.0,9.3,9.1,0.20000000000000107,0,0
2,2,11,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,4,1,2,97,184.0,87.0,8.818181818181818,9.666666666666666,-0.8484848484848477,0,0
2,2,12,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,8,0,2,105,184.0,79.0,8.75,9.875,-1.125,0,0
2,2,13,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,9,0,2,114,184.0,70.0,8.76923076923077,10.0,-1.23076923076923,0,0
2,2,14,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,15,0,2,129,184.0,55.0,9.214285714285714,9.166666666666666,0.04761904761904745,0,0
2,2,15,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,10,0,2,139,184.0,45.0,9.266666666666667,9.0,0.2666666666666675,0,0
2,2,16,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,9,1,3,148,184.0,36.0,9.25,9.0,0.25,0,0
2,2,17,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,10,0,3,158,184.0,26.0,9.294117647058824,8.666666666666666,0.6274509803921582,0,0
2,2,18,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,7,0,3,165,184.0,19.0,9.166666666666666,9.5,-0.3333333333333339,0,0
2,2,19,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,7,0,3,172,184.0,12.0,9.052631578947368,12.0,-2.947368421052632,0,0
2,2,20,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,15,0,3,187,184.0,-3.0,9.35,99.0,-89.65,0,0
3,1,1,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,8,0,0,8,-1.0,-1.0,8.0,-1.0,-1.0,1,0
3,1,2,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,8,0,0,16,-1.0,-1.0,8.0,-1.0,-1.0,1,0
3,1,3,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,6,0,0,22,-1.0,-1.0,7.333333333333333,-1.0,-1.0,1,0
3,1,4,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,7,1,1,29,-1.0,-1.0,7.25,-1.0,-1.0,1,0
3,1,5,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,11,0,1,40,-1.0,-1.0,8.0,-1.0,-1.0,1,0
3,1,6,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,12,0,1,52,-1.0,-1.0,8.666666666666666,-1.0,-1.0,1,0
