id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
344,2012,7,2012-04-28,6,5,6,2,normal,0,6,47,0,G Gambhir,Eden Gardens
345,2012,8,2012-04-29,7,10,7,2,normal,0,7,1,0,V Sehwag,Feroz Shah Kotla
346,2012,6,2012-04-29,1,2,2,1,normal,0,2,0,5,DW Steyn,Wankhede Stadium
347,2012,12,2012-04-30,9,6,9,2,normal,0,6,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk"
348,2012,22,2012-05-01,1,4,1,2,normal,0,1,13,0,KC Sangakkara,Barabati Stadium
349,2012,11,2012-05-01,10,7,10,2,normal,0,7,0,6,P Negi,Sawai Mansingh Stadium
350,2012,5,2012-05-02,5,8,8,1,normal,0,8,0,4,Azhar Mahmood,M Chinnaswamy Stadium
351,2012,2,2012-05-03,2,4,2,2,normal,0,2,1,0,SL Malinga,Subrata Roy Sahara Stadium
352,2012,12,2012-05-04,9,1,9,2,normal,0,9,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk"
353,2012,7,2012-05-05,6,4,6,2,normal,0,6,7,0,SP Narine,Eden Gardens
354,2012,9,2012-05-05,10,8,10,2,normal,0,10,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali"
355,2012,6,2012-05-06,9,2,2,1,normal,0,2,0,2,DR Smith,Wankhede Stadium
356,2012,5,2012-05-06,1,5,5,1,normal,0,5,0,5,AB de Villiers,M Chinnaswamy Stadium
357,2012,8,2012-05-07,7,6,7,2,normal,0,6,0,6,JH Kallis,Feroz Shah Kotla
358,2012,2,2012-05-08,4,10,4,2,normal,0,10,0,7,SR Watson,Subrata Roy Sahara Stadium
359,2012,1,2012-05-08,8,1,1,1,normal,0,8,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal"
360,2012,6,2012-05-09,2,5,5,1,normal,0,5,0,9,CH Gayle,Wankhede Stadium
361,2012,11,2012-05-10,10,9,9,1,normal,0,9,0,4,BW Hilfenhaus,Sawai Mansingh Stadium
362,2012,2,2012-05-11,5,4,4,1,normal,0,5,35,0,CH Gayle,Subrata Roy Sahara Stadium
363,2012,7,2012-05-12,2,6,2,2,normal,0,2,27,0,RG Sharma,Eden Gardens
364,2012,12,2012-05-12,7,9,9,1,normal,0,9,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk"
365,2012,11,2012-05-13,10,4,10,2,normal,0,10,45,0,A Chandila,Sawai Mansingh Stadium
366,2012,9,2012-05-13,1,8,1,2,normal,0,8,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali"
367,2012,5,2012-05-14,5,2,2,1,normal,0,2,0,5,AT Rayudu,M Chinnaswamy Stadium
368,2012,7,2012-05-14,6,9,9,1,normal,0,9,0,5,MEK Hussey,Eden Gardens
369,2012,8,2012-05-15,8,7,8,2,normal,0,7,0,5,UT Yadav,Feroz Shah Kotla
370,2012,6,2012-05-16,6,2,2,1,normal,0,6,32,0,SP Narine,Wankhede Stadium
371,2012,24,2012-05-17,9,8,8,1,normal,0,8,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium
372,2012,8,2012-05-17,5,7,7,1,normal,0,5,21,0,CH Gayle,Feroz Shah Kotla
373,2012,1,2012-05-18,10,1,10,2,normal,0,1,0,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal"
374,2012,24,2012-05-19,8,7,7,1,normal,0,7,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium
375,2012,2,2012-05-19,6,4,6,2,normal,0,6,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium
376,2012,1,2012-05-20,1,5,5,1,normal,0,1,9,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal"
377,2012,11,2012-05-20,10,2,10,2,normal,0,2,0,10,DR Smith,Sawai Mansingh Stadium
378,2012,2,2012-05-22,6,7,6,2,normal,0,6,18,0,YK Pathan,Subrata Roy Sahara Stadium
379,2012,5,2012-05-23,9,2,2,1,normal,0,9,38,0,MS Dhoni,M Chinnaswamy Stadium
380,2012,12,2012-05-25,9,7,7,1,normal,0,9,86,0,M Vijay,"MA Chidambaram Stadium, Chepauk"
381,2012,12,2012-05-27,9,6,9,2,normal,0,6,0,5,MS Bisla,"MA Chidambaram Stadium, Chepauk"
382,2013,7,2013-04-03,7,6,6,1,normal,0,6,0,6,SP Narine,Eden Gardens
383,2013,5,2013-04-04,5,2,2,1,normal,0,5,2,0,CH Gayle,M Chinnaswamy Stadium
384,2013,1,2013-04-05,1,4,4,1,normal,0,1,22,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal"
385,2013,8,2013-04-06,10,7,10,2,normal,0,10,5,0,R Dravid,Feroz Shah Kotla
